"target_rr","rep","K","method","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
0.3,59,20,"constrained",0.296857142857143,2.32704571143393,0.296857142857143,24.2996968999762,0.0088947248999669,-0.00527482942148979,0.0187965940704586,0.0187965940704586,0.0256237618382058,1.01853180885925
0.3,59,25,"standard",0.296857142857143,2.1293128698107,0.100117527088031,21.6922805404683,0.0103979495729781,-0.00689488164738128,-0.00167080545118559,0.00167080545118559,-0.00321591292547864,0.992247714147244
0.3,59,25,"constrained",0.296857142857143,2.32501221658245,0.296857142857143,23.9773982688219,0.00946189780884179,-0.00520682875183169,0.00581887974929618,0.00581887974929618,0.00646140987434409,0.992504039637088
0.3,60,8,"standard",0.300571428571429,2.15960796444684,0.20612912266367,18.7228640062771,0.0140858074442634,-0.0139449790317838,0.368141739606689,0.368141739606689,0.354680057964852,1.48550862692822
0.3,60,8,"constrained",0.300571428571429,2.30632453377637,0.300571428571428,19.8806007965636,0.0108524278641624,-0.0100557410197938,0.369905623493103,0.369905623493103,0.359725526527758,1.48564554935542
0.3,60,12,"standard",0.300571428571429,2.25864871887086,0.169921673711847,21.5218282915977,0.00972328738364987,-0.00754463370490765,0.250632029265151,0.250632029265151,0.231072453120742,1.25540075101661
0.3,60,12,"constrained",0.300571428571429,2.42892429324883,0.300571428571428,23.0756818202022,0.00790593434569316,-0.00475329686833069,0.252015353052552,0.252015353052552,0.232741172873509,1.25598701325878
0.3,60,16,"standard",0.300571428571429,2.31206682471674,0.140050229605724,25.0529387039756,0.00942240618423978,-0.00694985091724208,0.131112218419625,0.131112218419625,0.123467287017568,1.08712241687224
0.3,60,16,"constrained",0.300571428571429,2.50731854407167,0.300571428571428,27.3302899114499,0.00794603034229356,-0.00450171711102341,0.130866269170477,0.130866269170477,0.124720744006174,1.08810002607296
0.3,60,20,"standard",0.300571428571429,2.3766133682949,0.121884358603754,27.8548743204414,0.00828337507248352,-0.00415700218321532,0.0918422568994934,0.0918422568994934,0.0840828441463727,1.01753018123499
0.3,60,20,"constrained",0.300571428571429,2.58844073813154,0.300571428571428,30.5593337298865,0.0074632942003906,-0.00204129904322448,0.0925498855093583,0.0925498855093583,0.0855294067437484,1.01780334960802
0.3,60,25,"standard",0.300571428571429,2.46808030536997,0.115997937566814,28.0618835196226,0.00856522519505303,-0.00272259831716894,0.0571875062205169,0.0571875062205169,0.051297553007969,0.989720794979845
